id_date,date,FDI_giai_ngan,Tăng trưởng yoy
20060131,Jan-06,0,
20060228,Feb-06,0,
20060331,Mar-06,0,
20060430,Apr-06,1490,
20060531,May-06,0,
20060630,Jun-06,0,
20060731,Jul-06,0,
20060831,Aug-06,0,
20060930,Sep-06,0,
20061031,Oct-06,0,
20061130,Nov-06,0,
20061231,Dec-06,2573.793701,
20070131,Jan-07,0,
20070228,Feb-07,0,
20070331,Mar-07,1062.5,
20070430,Apr-07,0,-100
20070531,May-07,0,
20070630,Jun-07,1137.5,
20070731,Jul-07,0,
20070831,Aug-07,0,
20070930,Sep-07,1131.25,
20071031,Oct-07,0,
20071130,Nov-07,768.75,
20071231,Dec-07,531.25,-79.35926256
20080131,Jan-08,0,
20080229,Feb-08,1080,
20080331,Mar-08,600,-43.52941176
20080430,Apr-08,1470,
20080531,May-08,800,
20080630,Jun-08,0,-100
20080731,Jul-08,2050,
20080831,Aug-08,1000,
20080930,Sep-08,1100,-2.762430939
20081031,Oct-08,1000,
20081130,Nov-08,1000,30.08130081
20081231,Dec-08,1400,163.5294118
20090228,Feb-09,0,#DIV/0!
20090331,Mar-09,0,-100
20090430,Apr-09,2200,266.6666667
20090531,May-09,600,-59.18367347
20090630,Jun-09,1200,50
20090731,Jul-09,700,#DIV/0!
20090831,Aug-09,1800,-12.19512195
20090930,Sep-09,700,-30
20091031,Oct-09,800,-27.27272727
20091130,Nov-09,1000,0
20091231,Dec-09,1000,0
20100131,Jan-10,400,-71.42857143
20100228,Feb-10,700,#DIV/0!
20100331,Mar-10,1400,#DIV/0!
20100430,Apr-10,900,-59.09090909
20100531,May-10,1100,83.33333333
20100630,Jun-10,900,-25
20100731,Jul-10,1000,42.85714286
20100831,Aug-10,900,-50
20100930,Sep-10,700,0
20101031,Oct-10,1000,25
20101130,Nov-10,1000,0
20101231,Dec-10,1000,0
20110131,Jan-11,420,5
20110228,Feb-11,540,-22.85714286
20110331,Mar-11,2000,42.85714286
20110430,Apr-11,1080,20
20110531,May-11,900,-18.18181818
20110630,Jun-11,780,-13.33333333
20110731,Jul-11,1000,0
